Price,log_return,volume_zscore,realized_volatility_30d,hl_spread
Ticker,,,,
Date,,,,
2022-12-12,0.011181420193511357,-0.8560553129652169,0.13368151497559877,1.044721407319552
2022-12-19,-0.00783906720322931,0.17115067109529614,0.1412536814494581,1.4726524331864712
2022-12-26,0.01081917778403857,-0.2661434058431923,0.1461199331342347,1.307020218982323
2023-01-02,-0.002177883480392449,-1.2355649011250955,0.14718068440267654,1.0603401720215104
2023-01-09,-0.0024672892155688277,0.27132758862301415,0.1454599364675248,1.5379732275228002
2023-01-16,-0.00632573020031963,0.5280707980231554,0.13934610730903968,1.0226335386032814
2023-01-23,0.010128670031723182,-0.07006031370496701,0.13705491504164982,1.2671167274091402
2023-01-30,-0.0030161277417157365,-0.10022784338323092,0.130476618846013,1.1283742614116468
2023-02-06,0.006389133842458508,1.2729797141690304,0.1277029010832079,1.152861047291421
2023-02-13,0.02783590068585273,1.0118723738939015,0.14222697521834696,1.2788388937002686
2023-02-20,-0.001634631587788215,0.03821953351885319,0.1307565804866354,0.8498598511422826
2023-02-27,0.0020307609727316838,-0.7593437418949275,0.13119808210628256,1.2137202200754988
2023-03-06,0.014603661281125295,-0.23926718726368357,0.12749515551324983,0.8801069820919512
2023-03-13,-0.05438418836991775,-0.07429498911451174,0.127273831635645,1.7639181403621955
2023-03-20,-0.020049243977043982,1.736259535015072,0.17687593631447657,3.417618151703253
2023-03-27,-0.005619193545993991,0.4532592769515418,0.1811408174674562,1.7420945239492973
2023-04-03,0.04206897768864563,-0.06848729533748348,0.199231938855998,1.3892884653166244
2023-04-10,-0.011124025603022288,-1.3048713285956914,0.20410693385873685,1.120142568738947
2023-04-17,0.026437274814009516,-0.19055016456338236,0.20260003892499343,0.9766288459872505
2023-04-24,-0.0060889430461911614,-0.622780064726206,0.20164780417477363,0.9016603538768081
2023-05-01,0.005428665144317785,0.3670749481019342,0.19513074794103213,1.3933733659122813
2023-05-08,-0.0109448208126144,-0.499837804287022,0.15612640976042755,1.420063635066448
2023-05-15,0.002930405027416777,0.04336156135222609,0.1414174077187968,1.2821628057834897
2023-05-22,0.003290523804880306,-0.3086277989660355,0.12671040140078207,0.9265053693619335
2023-05-29,-0.00417866567445331,-0.5076984067536113,0.11968362128910133,1.021028465751869
2023-06-05,0.009595460049923057,0.3217885908107072,0.12270381425187402,1.2452983736436412
2023-06-12,-0.00115772642969707,-0.4734240336574115,0.13477323701528787,0.9392653587579154
2023-06-19,0.004963698365378431,0.43209062499375506,0.13428804915690656,1.0867553770565381
2023-06-26,-0.02988274327802326,-0.10136458472562852,0.13030641125238135,1.2923826031695782
2023-07-03,0.02434789864024859,0.005297523580681057,0.13715436854990484,1.1255251052267046
2023-07-10,-0.01937568310027982,-0.46365560083441987,0.14107595141448132,0.9961979330793987
2023-07-17,-0.01278886735421904,0.4965972113169018,0.14019525408298905,1.1085782044228827
2023-07-24,0.04191954428432604,-0.04966088724836863,0.1406182938337039,1.124296836959203
2023-07-31,0.006244707003096206,-0.6741287351295838,0.13655319279123918,1.0295896980249135
2023-08-07,-0.00879408646849295,-0.5069755603542792,0.1311332361900804,1.0703442453436616
2023-08-14,0.018649497561619738,0.3016743170703308,0.13666074047030125,1.1793470134037207
2023-08-21,-0.012082930466151,0.749351774944121,0.1338499877510249,1.112149826160825
2023-08-28,0.0037685239820689845,0.6514010557303049,0.13275006029277708,0.9101764853499319
2023-09-04,0.015865821391920835,-0.021550808020071362,0.12149925397935443,0.6597601286107236
2023-09-11,0.005667527579117343,-0.5314281402705093,0.11684735604183578,0.8482010835461036
2023-09-18,0.02023366349962105,1.4735654881642155,0.1160078223626094,0.9151260206246477
2023-09-25,-0.01272655065378515,1.1101582954650682,0.10064616642562166,1.0652979155052933
2023-10-02,-0.001855899589762085,0.02686123744060718,0.10414646846204367,1.161819750620634
2023-10-09,-0.0008432743275755238,0.13288631498111175,0.11675347181248541,1.4048600202044976
2023-10-16,0.024591051433183,-0.2731599247708233,0.13375905598529475,1.0353977694167136
2023-10-23,-0.044640273749400584,-0.3811614830263026,0.14204275388721693,1.300831721298005
2023-10-30,0.010906901109514438,0.07866687859339169,0.14990770097306563,1.1894621976803694
2023-11-06,0.017783671543041224,0.2570802316626203,0.15050049650231564,0.9592420497622621
2023-11-13,0.002127471101615569,-0.7808061389780352,0.16022844827492935,1.3537772654986466
2023-11-20,0.009529496521143734,-0.38090515901216077,0.1571452375220706,1.0705461765106847
2023-11-27,0.0036903881809893942,-1.192036352613372,0.15565985674927613,1.1028814905969995
2023-12-04,-0.01612210521694219,-0.05503273197663259,0.15370654742794254,1.0349110106408435
2023-12-11,0.006905097548439763,-0.5363954219037963,0.1425476156036852,0.725069310327713
2023-12-18,0.007553089743655913,1.238860137191343,0.1413514736787536,1.3977473243399385
2023-12-25,-0.010451426486292374,-0.4264264910719026,0.12804717078181765,0.7734833793448725
2024-01-01,0.00860098481824504,-0.8864072738012297,0.12472160004620934,0.7412821898402306
2024-01-08,-0.002030227405378532,-0.3257912794461687,0.10838801654894163,1.0670309337204082
2024-01-15,-0.013768045080731046,0.10491933724212062,0.09837122771714414,1.0798852228856064
2024-01-22,-0.006153589038102322,0.21677813622037193,0.09817004031954421,1.0255975638836066
2024-01-29,0.008832425776178071,-0.1653781972827964,0.09718228512034893,0.8644404514143706
2024-02-05,-0.01996408120530908,-0.09780581064678895,0.08861319325216137,0.7792893581739327
2024-02-12,-0.010513163367561487,0.5864556456382115,0.10275462453867952,1.1442980050776752
